"_id","group","item","_label","dist"
52623,3647,866,contains,
52624,3647,867,contains,
52625,3647,868,contains,
52626,3647,869,contains,
52627,3647,870,contains,
52628,3647,871,contains,
52629,3647,872,contains,
52630,3647,873,contains,
52631,3647,874,contains,
52632,3647,875,contains,
52633,3647,876,contains,
52634,3647,877,contains,
52635,3647,878,contains,
52636,3630,879,contains,
52637,3630,880,contains,
52638,3464,881,contains,
52639,3459,882,contains,
52640,3647,883,contains,
52641,3647,884,contains,
52642,3647,885,contains,
52643,3647,886,contains,
52644,3647,887,contains,
52645,3647,888,contains,
52646,3647,889,contains,
52647,3647,890,contains,
52648,3647,891,contains,
52649,3647,892,contains,
52650,3647,893,contains,
52651,3647,894,contains,
52652,3561,895,contains,
52653,3561,896,contains,
52654,3561,897,contains,
52655,3561,898,contains,
52656,3561,899,contains,
52657,3561,900,contains,
52658,3468,901,contains,
52659,3464,902,contains,
52660,3464,903,contains,
52661,3464,904,contains,
52662,3464,905,contains,
52663,3464,906,contains,
52664,3647,907,contains,
52665,3647,908,contains,
52666,3647,909,contains,
52667,3647,910,contains,
52668,3647,911,contains,
52669,3647,912,contains,
52670,3647,913,contains,
52671,3647,914,contains,
52672,3647,915,contains,
52673,3647,916,contains,
52674,3647,917,contains,
52675,3647,918,contains,
52676,3647,919,contains,
52677,3647,920,contains,
52678,3647,921,contains,
52679,3647,922,contains,
52680,3647,923,contains,
52681,3647,924,contains,
52682,3647,925,contains,
52683,3647,926,contains,
52684,3464,927,contains,
52685,3464,928,contains,
52686,3647,929,contains,
52687,3459,930,contains,
52688,3647,931,contains,
52689,3647,932,contains,
52690,3647,933,contains,
52691,3647,934,contains,
52692,3647,935,contains,
52693,3647,936,contains,
52694,3647,937,contains,
52695,3647,938,contains,
52696,3647,939,contains,
52697,3647,940,contains,
52698,3647,941,contains,
52699,3647,942,contains,
52700,3647,943,contains,
52701,3647,944,contains,
52702,3647,945,contains,
52703,3647,946,contains,
52704,3647,947,contains,
52705,3647,948,contains,
52706,3647,949,contains,
52707,3647,950,contains,
52708,3647,951,contains,
52709,3647,952,contains,
52710,3647,953,contains,
52711,3647,954,contains,
52712,3647,955,contains,
52713,3647,956,contains,
52714,3647,957,contains,
52715,3647,958,contains,
52716,3647,959,contains,
